id,translatable_id,name,document_url,locale
161,37,CEPT/ECC/DEC/(08)05,https://www.ecodocdb.dk/download/5e4038fd-41f1/ECCDEC0805.PDF,en
163,39,CEPT/ECC/REC/(01)04,https://www.ecodocdb.dk/download/4681aa93-6ed4/REC0104.PDF,en
164,40,"CEPT/ERC T/R 25-08",https://www.ecodocdb.dk/download/063e7311-fba7/TR2508.pdf,en
165,41,CEPT/ERC/DEC/(00)02,https://www.ecodocdb.dk/download/5d383ab3-14b4/DEC0002.PDF,en
166,42,CEPT/ERC/DEC/(00)08,https://www.ecodocdb.dk/download/fb513095-9c6a/DEC0008.PDF,en
167,44,CEPT/ERC/DEC/(01)17,https://www.ecodocdb.dk/download/2749f0f3-d25c/ERCDec0117.pdf,en
168,45,CEPT/ERC/DEC/(95)03,https://www.ecodocdb.dk/download/3fb031f7-252d/DEC9503E.PDF,en
169,46,2008/294/EC,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32008D0294&qid=1528279316334&from=CS,en
170,47,2011/251/EU,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32011D0251&qid=1528280743040&from=CS,en
171,48,CEPT/ECC/DEC/(09)02,https://www.ecodocdb.dk/download/368e9fdc-8685/ECCDEC0902.PDF,en
172,49,CEPT/ERC/DEC/(98)25,https://www.ecodocdb.dk/download/84beb66f-c610/ERCDec9825_01-06-2012.pdf,en
173,50,"CEPT/ERC/REC 12-02",https://www.ecodocdb.dk/download/37dcc204-ccf0/REC1202E.PDF,en
174,51,"ITU-R Rec. F.497",https://www.itu.int/rec/R-REC-F.497/en,en
175,52,"CEPT/ERC/REC 25-10",https://www.ecodocdb.dk/download/d3599aad-a5b6/Rec2510.pdf,en
176,63,"ERC Report 25",https://www.ecodocdb.dk/download/2ca5fcbd-4090/ERCREP025.pdf,en
177,72,2008/295/EC,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32008H0295&qid=1528279808387&from=CS,en
178,71,2013/654/EU,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32013D0654&qid=1528281456147&from=CS,en
179,56,CEPT/ERC/DEC/(01)08,https://www.ecodocdb.dk/download/7f70af03-c25d/DEC0108.PDF,en
180,54,2008/673/EC,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32008D0673&qid=1528279726791&from=CS,en
181,55,2009/381/EC,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32009D0381&qid=1528279947074&from=CS,en
182,65,"ITU-R Rec. F.382-7",https://www.itu.int/rec/R-REC-F.382/en,en
183,53,2005/928/EC,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32005D0928&qid=1528275441681&from=CS,en
184,73,2009/114/ES,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32009L0114&qid=1441887026594&from=EN,cs
185,73,2009/114/EC,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32009L0114&qid=1528280352453&from=CS,en
186,74,2014/641/EU,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32014D0641&from=EN,cs
187,74,2014/641/EU,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32014D0241&qid=1528281908411&from=CS,en
188,75,2015/750/EU,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32015D0750&qid=1444048541779&from=EN,cs
189,75,2015/750/EU,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32015D0750&qid=1528282080184&from=CS,en
190,76,2014/702/EU,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32014D0702&qid=1444048815224&from=EN,cs
191,76,2014/702/EU,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32014D0702&qid=1528282010463&from=CS,en
192,77,2014/276/EU,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32014D0276&qid=1444048098728&from=EN,cs
193,77,2014/276/EU,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32014D0276&qid=1528281830721&from=CS,en
